date,mmm yy,week no,day_type
1-May-22,22-May,W 19,weekend
2-May-22,22-Jun,W 20,weekeday
3-May-22,22-Jul,W 21,
4-May-22,,W 22,
5-May-22,,W 23,
6-May-22,,W 24,
7-May-22,,W 25,
8-May-22,,W 26,
9-May-22,,W 27,
10-May-22,,W 28,
11-May-22,,W 29,
12-May-22,,W 30,
13-May-22,,W 31,
14-May-22,,W 32,
15-May-22,,,
16-May-22,,,
17-May-22,,,
18-May-22,,,
19-May-22,,,
20-May-22,,,
21-May-22,,,
22-May-22,,,
23-May-22,,,
24-May-22,,,
25-May-22,,,
26-May-22,,,
27-May-22,,,
28-May-22,,,
29-May-22,,,
30-May-22,,,
31-May-22,,,
1-Jun-22,,,
2-Jun-22,,,
3-Jun-22,,,
4-Jun-22,,,
5-Jun-22,,,
6-Jun-22,,,
7-Jun-22,,,
8-Jun-22,,,
9-Jun-22,,,
10-Jun-22,,,
11-Jun-22,,,
12-Jun-22,,,
13-Jun-22,,,
14-Jun-22,,,
15-Jun-22,,,
16-Jun-22,,,
17-Jun-22,,,
18-Jun-22,,,
19-Jun-22,,,
20-Jun-22,,,
21-Jun-22,,,
22-Jun-22,,,
23-Jun-22,,,
24-Jun-22,,,
25-Jun-22,,,
26-Jun-22,,,
27-Jun-22,,,
28-Jun-22,,,
29-Jun-22,,,
30-Jun-22,,,
1-Jul-22,,,
2-Jul-22,,,
3-Jul-22,,,
4-Jul-22,,,
5-Jul-22,,,
6-Jul-22,,,
7-Jul-22,,,
8-Jul-22,,,
9-Jul-22,,,
10-Jul-22,,,
11-Jul-22,,,
12-Jul-22,,,
13-Jul-22,,,
14-Jul-22,,,
15-Jul-22,,,
16-Jul-22,,,
17-Jul-22,,,
18-Jul-22,,,
19-Jul-22,,,
20-Jul-22,,,
21-Jul-22,,,
22-Jul-22,,,
23-Jul-22,,,
24-Jul-22,,,
25-Jul-22,,,
26-Jul-22,,,
27-Jul-22,,,
28-Jul-22,,,
29-Jul-22,,,
30-Jul-22,,,
31-Jul-22,,,
